Name,Photo,Contact,Role,Institution,Institution Description,Festival Role,Attendance,Bio,Conversation Tip,Institution Link
Andrea Corradi,,,Musician / Performer,IT,,Project – Sound Campus (TUE 8.9.); Concert – cowgirl reverse,Definitely,"Contributor to “cowgirl reverse”: Studio Brudi and Andrea Corradi explore the overlap between southern rap and country music through heavily slowed-down bull-riding footage. The performance unfolds like a surreal rodeo broadcast caught somewhere between screw music, county fairs and late-night television.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Andrea Hummer,,https://www.jku.at/zirkus-des-wissens/,Artist / Participant,AT Austria,,Project – RADICAL GAMING,Probably,"Andrea Hummer is the production manager of the Circus of Knowledge. She has designed and organized numerous exhibitions, conferences and events. Her focus is cultural work at the intersection of politics, social issues, flight/migration and activism.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://www.jku.at/zirkus-des-wissens/
Andrea Hörndler,,,Artist / Contributor,AT,,Project – Into the JKUniverse – Future starts with you,Probably,"Contributor to “Into the JKUniverse – Future starts with you”: What should we remember, rethink and carry forward? Marking 60 years of JKU Linz and 30 years of Ars Electronica Center/Futurelab, this art & science project invites visitors to explore past collaborations and contribute their own questions and visions for the future.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Andrea Sforzi,,https://www.instagram.com/sforziandrea/,Workshop leader,IT Italy,,Workshop – RIECS Summit: Designing the Future of Citizen Science Infrastructure,Definitely,"Andrea Sforzi, PhD, Director of Maremma Natural History Museum (IT), was one of the co-founders of the European Citizen Science Association (Board member 2014-2020). He is a member of a panel of experts for the selection of Citizen Science projects in Austria (TCS). In 2023, he joined the European Commission international Jury for the first EU Prize for Citizen Science. He is a founding member and current President of Citizen Science Italia and represents Italy in the G7 Working Group on Science Communication.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://www.museonaturalemaremma.it/andrea-sforzi/
Andreas Grünauer,,,Musician / Performer,AT,,"Concert – Post-Digital Instruments Concert – Tangible Music Lab, University of Arts Linz",Definitely,"Contributor to “Post-Digital Instruments Concert – Tangible Music Lab, University of Arts Linz”: The Post-Digital Instruments Concert features a performance for bassoon and electronics by Sandra Muciño and a collaboratively developed composition on instruments with a post-digital reference by the Post-Digital Ensemble.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Andreas Refsgaard,,https://www.instagram.com/andreasref/,Speaker,DK Denmark,,Lecture & Talk – Wicked Mirror: Negotiating Ourselves; Project – Wicked Mirror,Definitely,"Andreas Refsgaard is a Danish artist and creative coder. Through interactive installations, performances and digital experiments, he creates unexpected ways for people to engage with technology, from making music with eye movements to generating images, stories and conversations through machine learning. His work combines humor, curiosity and technical innovation to demystify AI while inviting audiences to question how intelligent systems shape creativity, communication and everyday life.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://www.andreasrefsgaard.dk/
Andreas Winklbauer,,,Artist / Participant,AT Austria,,Project – RADICAL GAMING,Probably,"Andreas Winklbauer is a psychologist and research associate at JKU Linz. He studies how digital game worlds affect players' experiences and behaviour, combining surveys with behavioural data from games. In RADICAL GAMING, he contributes his expertise to the project's psychological framework and evaluation.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Andrew Blanton,,,Speaker,US,,Lecture & Talk – Patterns & Politics: Book Presentation and Panel,Definitely,"Contributor to “Patterns & Politics: Book Presentation and Panel”: Patterns & Politics: Book Presentation and Panel brings together Claudia Hart, Andrew Blanton and Anika Meier for a conversation, moderated by curator Julia Staudach, on Hart’s artistic practice and her first museum retrospective.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Andrew Herzog,,https://www.instagram.com/andrew_herzog/,Conference contributor,US United States,,Conference – Artist Perspectives: Prix Ars Electronica 2026; Guided Tour – Artist Walk Tour: Negotiating Humanity; Project – Deer Hunter; Screening – Deer Hunter,Definitely,"Andrew Herzog is an interdisciplinary artist whose medium-agnostic practice examines the constructed boundaries between humanity and the natural world. His experiences as a father and caregiver shape these inquiries, informing investigations into masculinity, lineage and the proliferation of human systems amid the Anthropocene.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://www.andrewherzog.com/
Andrew Stokes,,,Conference contributor,HK,,Conference – Academic Session: Art Track #4 Embodiment,Definitely,"Contributor to “Academic Session: Art Track #4 Embodiment”: The Academic Session #4 Art Track: Embodiment presents five contributions from the Expanded Conference Open Call that explore embodied interaction, perception and the relationship between human bodies and emerging technologies in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Angela Olbrich,,,Workshop leader,AT,,Workshop – Crafting Futures Lab: Re-membering our Seeds,Definitely,"Contributor to “Crafting Futures Lab: Re-membering our Seeds”: Seeds are living archives. They carry memories of place, seasons and generations of care. This collective embroidery circle invites participants to stitch seeds into fabric while listening to stories about plants, place-making and seed keeping.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Angelina Hettinger,,,Performer,DE,,Performance – Common Fabric,Probably,"Contributor to “Common Fabric”: Is it still possible to speak with someone who thinks differently? A performance where people come together like thread: sometimes clashing, sometimes close, yet woven into one shared piece.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Angeline Verrier,,,Artist / Contributor,FR,,Project – The Apocalypse of Images,Probably,"Contributor to “The Apocalypse of Images”: This project is an ecocritical exploration of the rapid evolution of technology, questioning the role of photography today in the Anthropocene era, where AI is rapidly expanding.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Anika Meier,,,Speaker,DE,,Lecture & Talk – Patterns & Politics: Book Presentation and Panel,Definitely,"Contributor to “Patterns & Politics: Book Presentation and Panel”: Patterns & Politics: Book Presentation and Panel brings together Claudia Hart, Andrew Blanton and Anika Meier for a conversation, moderated by curator Julia Staudach, on Hart’s artistic practice and her first museum retrospective.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
